Tweet,Sentiment
Kami mencalonkan bapak USER sebagai presiden RI di 2019; Dan kami siap bekerja di akar rumput; Untuk memenangkan bapak USER sebagai presiden RI di 2019,Positive
Wong jowo menyebutnya dg set......hewan yg merubung bangkai',Positive
USER Segala ny bnyk impor!!!hduh praah; Msti; #2019GantiPresiden #2019GantiPresiden #2019GantiPresiden #2019GantiPresiden,Positive
"Prediksi Togel Hongkong Kamis 29 Maret 2018\n\nAngka Main : 9123\n\nMistik : 6058\n\nAngka jagaan : 38, 68, 05\n\nShio : Monyet'",Positive
USER Lah lu bom apa gimana?jauh jauh dah gua nih takut',Positive
pantaskah pemerintah kita mjln hubungan mesra dgn negara cina Komunis itu?,Positive
USER USER Rezim Soeharto melepas Freeport demi mendapatkan kekuasaan. Jokowi menganulir PP yang dikeluarkan SBY karena 'salah menghitung' biaya yang dikeluarkan tak sesuai dengan divestasi saham 30 %. \nHanya USER yang bisa 'merampa,Positive
USER USER Segerombolan onta yg ngaku membela umat tapi itu semata2 demi kepentinga politik praktis.TGB jauh lebih demokratis dia mementingkan umat yg berpikiran modern.salut untukmu TGB',Positive
Candi Sawentar yang merupakan salah satu peninggalan sejarah ini memang sangat cantik. Komitmen Gus Ipul dan saya adalah untuk lebih mempercantiknya lagi tanpa menghilangkan sejarah dan budaya di dalamnya.; ; #KabehSedulur #KabehMakmur #2UntukJatim #GusIpu,Positive
USER USER USER Berarti rejim jokowi sama saja dong... ganti ah',Positive
"USER ""Musik milenial emang sampah, mending dibilang tua daripada jadi (indie idiot)""..\nMaksud km indie disini apa ? Musik modern ?\nIndie itu berasal dari musik independent bro.. dalam artian musisi tersebut tidak mnggntung nasib pada fihak lain(mandiri).Musisi old udh indie sejak dulu'",Negative
"Ninja kali nih tukang roti keliling, cepet banget ilangnye. 2x gw keluar rumah gak keuber. Sarap.'",Negative
menolak lupa pengusung abraham samad adalah PDIP via kader bernama Trimedya Panjaitan. Itulah kenapa KPK sudah mirip tim sukses jokowi,Positive
dekalarasi pilkada 2018 aman dan anti hoax kepala desa sekecamatan jabon,Positive
Mari kita ganyang pki dari NKRI..,Positive
USER Bubarkan dpr..sarang kemiskinan rakyat,Positive
Sinting gua asli anak winner beneran pada punya twitter',Negative
USER USER Lo kunyuk',Negative
"NGATAIN GUA MONYET, TP MT GUA DI RT + LOVE WKWKW URL",Negative
RT USER: #IklanAhokJahat bikin darah mendidih. bangsat penuh dengan propaganda. emang lo kira islam radikal ?Kalau kami mau,Negative
USER USER Pak aher kita doronguntuk menjadi presiden atau wakil .kebanggaan masyarakat jabar,Positive
USER USER USER Saya tetap ingin #2019GantiPresiden ; #BalikinKeSolo,Positive
"Allah SWT yang di-sembah2 Muslim adalah syetan, halalkan rampasan, ngajarkan tunduk patuh dan ngobarkan cocok2 penis",Negative
"Melalui Sedulur Ngaji, semoga Allah ijinkan Gus Ipul Mbak Puti jadi Gubernur dan Wagub Jatim; ; #SedulurNgajiKotaBatu ; #SedulurNgajiJombang; USER; USER; USER; USER; USER; USER; USER",Positive
"USER USER saya dengar kalau Laut Banda tertutup untuk peneliti asing. Tapi bagaimana regulasinya, jika penelitian di Laut Banda leader nya adalah peneliti Indonesia dan menggunakan kapal riset Indonesia, tapi menyertakan peneliti asing?'",Positive
"USER USER USER USER USER USER USER Ahh kacrut lah, sok sibuk belain tp masih blm tau siape yg bakal jd wapresnye \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86'",Negative
"Korupsi dan ngibul sama jamaah itu nggak haram, yang haram itu makanan yang terindikasi mengandung DNA? babi.\n\n\xf0\x9f\x98\x82'",Positive
Anak dki jakarta banget lah yaa USER 21 tahun saya Berfoto bersama Wakil Gubernur DKI JAKARTA,Positive
USER USER USER USER USER USER USER USER USER USER USER USER USER USER Di rezim ini banyak kaum penganut tololisme',Negative
Salah satu Hasil Rekomendasi Mukernas USER adalah mendukung USER sbg Presiden Republik Indonesia; #anismatta #rinduanismatta USER USER USER USER USER USER USER USER USER USER,Positive
"Krn saat itu di Barat, gereja Kristen menyebabkan masyarakat trauma dan meragukan agama.",Positive
"USER USER bang bong bang bong...lupa ya udah hampir 4 tahun presidenmu dari kelompok cebong, udah 4 th nikmati kemajuan pembangunan cebong..kecuali anda keturunan ONTa Wn jasirah sana'",Negative
Turunkan Jokowi Di Myanmar rohingya,Positive
"USER Beliau hebat,,di rezim beliau lah Kroasia lolos ke final piala dunia mengalahkan inggris dg skor rp 14500 : 1 $...kerja kerja kerja...'",Positive
"Gampangan banget sih jadi orang, baru dipuji dikit aja udah kaya mau ngasih kehormatannya aja haha TOLOL'",Negative
Kajox ga on si kunyuk deact si tete ilang entah kemane -_- abis dah bestie cowo yg gua punya',Negative
USER USER Nah kalau itu Tinggal mental yg buang sampah. Kan sudah ada tempat sampah. Jangan buang sembarangan. Jaga juga lingkungan kita.',Positive
"Lebih baik mendengar suara bom, guntur, geledek, petir, atau gunung meletus daripada mendengar suara tangismu yang buat aku tak bisa berbuat apa-apa.\n#sidomi'",Positive
John Mayer ini suka sarap-sarap ngegemesin. \xf0\x9f\x98\x82\xf0\x9f\x98\x8d',Negative
USER : Si AHOAK USER CINA ANJING KAFIR PENISTA AGAMA ISLAM....!!!,Negative
USER Kasus hukum si antek sby kpn diperiksa',Positive
"USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Lah emang sekarang presiden nya prabowo ,tolol boleh goblok kurangi ,'",Negative
lagu Ari lasso silit memang',Negative
Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam',Positive
USER Jejak digitalnya ada .. Dungu terlalu',Negative
Lesbian tu dimana mana. Sampe teman sendiri aja lesbi',Positive
"Akibat duk hadiri jamuan hari raya ni terpaksa lah hari2 main elliptical machine utk kekal fit dan bakar kalori sebagaimana nasihat trainer,kena kuat dan sihat utk lawan rejim zalim PH'",Positive
USER Disana teriak aseng aseng juga ga ya?',Positive
"USER Aku ada kok.. di Kota Salatiga, Jawa Tengah. SMA Kristen 1 Salatiga'",Positive
"Jadi gini rasanya setelah pergi, saling asing terus bertemu kembali, lebih seru wkwkwk'",Positive
USER lebih baik pilih ahok drpd pilih yg se iman tp koruptor dn munafik !! Bodoh kau,Negative
"Kalau BANGSAT menjadi wakil rakyat, yg keluar dari mulutnya ya BANGSAT.\nKalau MONYET menjadi wakil rakyat, yang keluar dari mulutnya ya MONYET.\nKalau BABI menjadi wakil rakyat, yg keluar dari mulutnya ya BABI.\nKalau ANJING menjadi wakil rakyat, yg keluar dari mulutnya ya ANJ",Negative
USER Nyamber juga dong...\n\nKulit leher kering kurang vit C..Cupang\n\nKulit bokong kering kurang vit C..Cebok\n\nHidup kurang bahagia kurang vit C..Cewek/Cowok',Negative
USER Iman cebong penjilat ...gk kaget.',Negative
USER teriak anti asing aseng sedangkan fadli zon berteman sma donald trump fadli zon bermental munapik',Negative
"USER USER Pemilu sudah dekat, semua jadi halal, begitulah komunis bekerja'",Positive
RT USER: Suciwati: Revolusi Mental Jokowi Omong Kosong/Bualan. Jika Setuju RT &amp; Comment URL,Positive
RT USER: PRABOWO terbukti terlibat kasus PENCULIKAN URL,Positive
GIRING GANESHA PENGAGUM DIKTATOR JOKOWI,Positive
Hello pak USER pemerintahan yg ANDA pimpin MUNDUR kata si USER Pak Jokowi Mundur Saja USER URL,Positive
USER USER USER Hebat ya.\n Jokowi idola mentri termuda di Malaysia ini.. kampret &amp;onta mlh disini mencibir prestasi Presiden.',Negative
USER Sama ak asing g.',Positive
USER USER Amit amit.. Udah doer burik kriput diposting.. Anjing juga ogah ngliatnya jijik',Negative
USER USER USER Semoga bapak prabowo menjadi presiden RI...doa kami selalu untukmu,Positive
"Kl aku tdk taat pd Tuhan, malam kemarin kamu udah aku kata2in pengecut, perek, pelacur, wanita tidak tahu diri, wanita rendah... aku kata2in di depan suamimu dan aku tidak takut pd suamimu. Mas kamu bilang dirimu pernah bajingan, masa laluku lebih gelap dan lebih bajingan dr kamu'",Negative
[NOSTALGIA DENGAN BUDAYA]; ; nosÂ·talÂ·gia n kerinduan (kadang-kadang berlebihan) pada sesuatu yang sangat jauh letaknya atau yang sudah tidak ada sekarang; ; Kangen sama masa-masa sekolah? Kangen sama lingkungan sekolah? Yuk nostalgia masa sekolah dengan pa,Positive
"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0",Negative
Si Om Bule agak geblek ya malem2 begini sepedaan.. Hmm',Negative
"Di beberapa akun temen yg jadi buzzer politik calon gubernur jg asik2 aja. Ga saling share berita buruk tentang lawan, tapi asik promo campaign atau tagar masing-masing calon. Enak banget",Positive
"USER USER USER USER Sekarang ini sudah bisa dibedakan antara pecundang atas negeri ini atau nationalist untuk membela negara, orang pintar belum tentu nationalist dan orang bodoh boleh belum tentu tidak nasionalis Anda harus paham S",Positive
USER USER USER USER USER USER Lebih TOLOL lg yg nulis kek gini... \xf0\x9f\x98\xb8\xf0\x9f\x98\xb8\xf0\x9f\x91\x8b\xf0\x9f\x91\x8b\xf0\x9f\x91\x8,Negative
Ok tdk apaalahh lepasni diam2 jd baik biar diri sndiri yg sakit hati pendam smpai mampus!! Okbaii',Negative
Kurangnya pemberdayaan wanita DKI Jakarta bisa dilihat dari telaknya perbedaan warna muka dan warna tangan mpok sylvi DebatFinalPilkadaJKT,Positive
"Di Twitter, cewek2 yg bisa di BO bnyak yg ga berkualitas, foto dan kenyataan jauh beda, harga mahal service jg ga bagus2 amat,,,\nIni gua bisa bilang karena udah pengalaman bo puluhan kali, puluhan perek, tanpa dpt hasil yg memuaskan.\n#menyesalboviatwitter'",Negative
"Wahai Warga Jateng, janganlah kalian lupakan ini.; ; #2018GantiGubernur ; ; #SudirmanIda ð???",Positive
"Astaghfirullah Hal'adzim..; Benar2 terjadi PEMBODOHAN ..; ; Bagi yg pernah nonton , mungkin bisa tau berapa persen EDUKASI yg didapat dlm film2 ini ..; ; #2019GantiPresiden; ; USER; USER; USER; USER; USER; ;",Positive
Kenapa awalnya gue harus kenal lo kalo\nakhirnya kita sama2 kayak saling gak kenal? Dasar BANCI',Negative
DASAR UDIK....!!!!',Negative
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,Negative
Hanya butuh laki setia bukan laki bajingan \xf0\x9f\x91\xbf\xf0\x9f\x91\xbf',Negative
USER Wedus gembel\n\nAku siram air bisa bikin seger kan',Negative
"USER USER Hati2 antek Yahudi, Liberal, LGBT, Syiah ...\n\nISLAM ya ISLAM, ALLAH SWT sudah sempurnakan dan ada dlm AL-QURAN ...\n\nAdakah ISLAM lain yg disebutkan dlm AL QURAN ...??'",Positive
"Seoul kini menjadi salah satu destinasi favorit di Asia. Selain budaya yang unik, hallyu atau Korean wave menjadi faktor utama membuat Seoul kebanjiran traveler. Nah, buat kamu yang mau jelajah ke Korea, intip dulu 6 Hal Seru yang dapat kamu lakukan di Seo",Positive
RT USER: Dengan anda bicara begitu anda sdh ngaku kalau ada kecurangan di pemilihan kepala daerah DKI Jakarta kemarin. URL mundurlah secara terhormat.,Positive
"masuk atm ngelihat ada kondom jatuh entah milik siapa, mungkin si empunya buru2 udah ngempet eue tapi lupa gak bawa uang ehe ~\n#RealBO #RealAVA'",Negative
Rejim saat ini dengan sadar telah mengabaikan prinsip dasar nasionalisme dan fungsi #sosial atas #tanah. ).|#keadilandistribusitanah',Positive
USER USER Bangkai pasti bau',Positive
USER USER Dulu mercun kecik\xc2\xb2 lagi...bunyi tak kuat sngt wei....skrg mcm\xc2\xb2 ade....bunyi dh m mcm bom....',Positive
KAMI UMAT MUSLIM SELURUH INDONESIA MENENTANG KERAS KPD : JOKOWI & MEGAWATI DGN REZIMNYA TERMASUK KAPOLRI DAN KAPOLDA SIAP LENGSERKAN JOKOWI.,Positive
"RT USER: Sandiaga diduga kampanyekan Sudirman-Ida di masjid Solo, ini kata KPU | URL URL USER\xe2\x80\xa6'",Positive
"USER USER kayak ga ada pemilihan kata lain selaen bom, minta dingertiin tp ga mau balik ngertiin..'",Positive
"USER Tanya tuh profesor, knp gak ada kristen atau katolik nusantara??'",Positive
"Di wayang golek semar dan keluarga mereka selalu di hina oleh dorna dan orang yang tidak suka terhadap mereka, tapi semar dan keluarga selalu memaafkan perbuatan mereka sebelum mereka meminta maaf langsung.'",Positive
USER MASALAHNYA CEBONG LEBIH MENGEKSPOSE MENONJOLKAN HANYA INFRASTRUKTUR TANPA PEDULI BAYAR UTANGNYA',Negative
"Islam yg rahmatan lil alamin, Kristen yang cinta kasih, Hindu Budha Konghucu yang penuh kedamaian. Semua agama ajarkan kebaikan #PraKhotbah",Positive
USER AAHH WINWEN!! SYIAL KENAPA HARUS LESBI.. MY TYPICAL OF MY GIRL BGT!',Negative
Ulama Purwakarta Sebut Bupati Dedi Mulyadi Raja Syirik,Negative
USER USER Edan. Gelem tak pisuhi?',Negative
USER USER USER Membawa nama Islam tp mnggunakan cara PKI.\nPartai Komunis Syariah',Positive
Negara teroris itu ternyata mayoritas Budha,Positive
Mari Awasi sekeliling kita masing-masing menjelang 30/S jika ada aktifitas antek komunis laporkan ke Ulama dan TNI...!! ganyang pki,Positive
USER USER USER jkw itu jongos luhut,Negative
"USER Kebijakan pengembalian barang kepada konsumen yg dilakukan apabila barang tersebut rusak, cacat produksi atau konsumen merasa kurang puas dengan produk tersebut terhitung selama 7 hari dari tanggal pembelian #HauzMiniQuiz #HauzID USER USER",Positive
Dasar jd cina kok goblok mau aja bayarin kucing gembrot model gtuan',Negative
USER #kom11 Rapat dimulai oleh Ahmadi Nur USER #dapil1 mengenai pagu anggaran DPR 2016',Positive
USER USER USER wah berarti pernah makan bareng sama orang yahudi ya?benar ngga sih kemana pun mereka singgah suatu tempat kalo makan bawa alat makan sendiri? sekedar tanya sepertinya tau tentang orang yahudi',Positive
"Hanya Presiden Parti je layak jadi PM. Manusia tak berparti ni jangan harap lah.. Parti pun tak ada, nak jd PM macam mana?; #93tahun #buangtabiat",Positive
USER bajingan presiden',Negative
tahun lalu USER dilaporkan pospera yg mengaku sbg pendukung USER. sekarang USER dilaporkan repdem organisasi sayap PDIP.,Positive
"USER Pak USER Muslim selalu mengatakan kebenaran datang dari Allah SWT, yg mana? Muhammad bejad nabi?",Negative
"USER Dia budek, buta, dan otak mati jd mungkin sulit. Jangan berharap banyak.'",Negative
"USER Timbal baliknya TKA min, cepet2 dipulangin plis'",Positive
Jatim Anti Hoax dan Mendukung Pilkada Damai,Positive
Muslim Rohingya berusia 80 tahun ini harus lari dari persekusi Teroris Budha!,Positive
"USER USER Ini bukan tentang mayoritas atau minoritas. Tapi masalah konsep. Sependek pengetahuan saya, tdk ada perintah dlm kitab suci kristen, budha, hindu yg melarang memilih pemimpin, atau teman, atau pegawai, diluar agama mereka.'",Positive
?AYO KITA VIRALKAN?; ; Sangat memalukan USER membuat pernyataan FITNAH!! ; terhadap USER !!; ; Warga Kampung Akuarium membantah pernyataan Gubernur DKI JKT Anies Baswedan yg menyebut 24 warga meninggal dunia krn tinggal di bekas penggusur,Positive
"USER Negara ini sudah terjual......\nInilah hebatnya paek lek jokowi itu, negara udh d keteng, dan sdh ada dua kuasa pemerintah d negara ini, CPNS thn ini d khusskn untk sinamata sipit, sdh memperkosa negara sendiri, pngkhianat dsar PKI.'",Negative
Beli barang pengiriman dr cina biasanya paket transit cin-indo cuma 3 hari napa ini seminggu\xf0\x9f\x98\xa2',Positive
"USER Pak USER tak dpt bantah Beriman pd Allah SWT = Beriman pd KEBIADABAN, wajib pelopori Buang Islam",Negative
USER DEMINA???? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 ih anjir sekarang malah jadi model brandnya ajsjsjsjaja',Negative
"RT USER: #2beer sebenernya bosen tubir rp, tapi liat mereka goblok jadi seru'",Negative
USER Tak punya cacat di masa lalu krn blum bermasa lalu',Positive
"USER USER USER USER USER Lu yg lebih dongo, suporter kok promosiin film wkwkwk sampe ikut berpolitik jga wkwkk #AingPersibAingPolitik'",Negative
USER Bodo katotoloyo model sia Zonk',Negative
Kangen smasa. Bajingan :(',Negative
RT USER Bubarkan DPR asli negara tetap berjalan,Positive
"USER Asu, aku ngakak :('",Negative
Gubernur jaman now harus cerdas ; #PilgubJateng2018 ; #PilgubJat3ngTanpaHoax ; #KamiGanjarYasin,Positive
USER buaya darat apa buaya air?',Positive
USER USER Ini salah satu bangsat pengecut di Indonesia..\nYang didukung bangsat pengecut bani onta dan groupnya yang kabur ke arab sono.\nIngat...Tuhan tidak tidur ...semua yang berbuat spt itu terhadap AHOK dan merasa dirinya pal,Negative
"USER Untung bukan unta,bisa didemo bersilit-silit'",Negative
"USER Karena dalam puisi ibu indonesia jelas dan spesifik ke agama ter tentu, seperti azan dan syariat islam. Itu terlalu tendensius. Disini apakan USER sebagai media jurnalistik paham perbedaan struktur kalimat serta pemilihan kata yg dig",Positive
Dan dari orang asing yang ngobrol karena bosen nunggu transit akhirnya jadi temenan sampe sekarang :)',Positive
"""Aku selalu percaya, keadaan asing hanya masalah waktu pasti akan kembali berada di sisi mereka lagi."" -Ryeowook'",Positive
"USER USER Berenti y ewe, dunia tidak selucu itu'",Positive
Lalu siapa lagi menurut anda yg mgkin berdasarkan PT 20% itu?,Positive
bagus...Bersatu Kita Teguh bercerai....aseng berkuasa !!! URL,Positive
RT USER kelihatan bodohnya wkwkwkwkkkk yg nulis ada prabowo digambar. goreng isu G30SPKI,Positive
#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii',Negative
USER Terbukti kampus kerakyatan. Kampus lain mu ngkin ga kepikiran jamban',Positive
Pilkada damai dan anti hoax,Positive
USER yg perlu dipertanyakan jga adlh sikap mardani AS yg jg kader partai islam,Positive
Ga salah memang USER &amp; USER bilang antek Aseng tapi adiknya Prabowo bilang Prabowo pro Amerika. URL,Positive
"USER USER USER Jdi wowo presidennya tv one, makanya yg diundang slalu pentolan para kampret dan gembel warnet.. Hahaa'",Negative
USER Tae sih ni orang :))',Negative
"edan sih markli, ku jadi senyum2 sendiri ngeliatin hp'",Negative
RT USER Cara serang Ahok : Kafir galak,Negative
"USER USER USER Ga mau munafik sih, nonaktifin akun ig salah satunya krn iri liat mantan bahagia banget, w masih aja berduka\xf0\x9f\x98\x82'",Positive
Kalau sudah begini sebaiknya jokowi mundur diri aja. Lempar handuk ngaku tak mampu memimpin negara. Kalau tidak mundur kasihan rakyat semua,Positive
Pemkot Manado Raih Penghargaan Best Emergency 112 - ekonomi,Positive
TangkapPengunggahChatMesum kasus rekayasa kekayasa kelompok kiri pesanan si kiri utk tujuan kekuasaan si kiri Lengserkan Jokowi,Positive
"Hmm, Ganti presiden apa lanjutkan~",Positive
Ketua DPR Dorong Inspirasi Kreatif Pemerintah Sesuai BudayaÂ Pancasila,Positive
"USER Wahai saudaraku, ketahuilah bahwa, Jokowi adalah tetap saudara kita. Yg patut kita tinggalkan adalah para partai politik pendukung penista agama, orang2 yg mendukung penista agama, penduduk zionis Israel, kaum munafik, liberal, komunis d",Positive
.; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk Sriâ?¦,Positive
klo aku disana uda ku ambil hpnya terus kujual bodo amat biar kapok sekalian lama2 ngeselin jg ga hati-hati bgt km john\xf0\x9f\x98\xad',Negative
"Gw juga ngimpi SENTILIN BIJI BABI AHOK, pcetar Pcetar, langsung kejang2 die, ngadu ke Jkw, Jkw: makanye sunat dulu, bru NGOMONG Almaidah.",Negative
Tunggu Jaminan ke-2 #JomBN.,Positive
"USER USER Sebenarnya apa yg anda cari dan anda ingin dpatkan..?? RI rusuh..?? Terpecah belah..?? RI perang saudara..?? Kalo yg itu anda harapkan.. anda dapat hasil apa..?? Ga akan jg dpt apapun kecuali sengsara, makan susah, kemungkinan hidu",Positive
RT USER: PENJARAKAN PENISTA AGAMA !!! ATAU USER TURUN !!! https:\/\/t.co\/vqH0TNXaRz,Negative
RT USER: Yang langsung ngaceng harap di Retweet \xf0\x9f\x98\x81 URL,Negative
USER Hanya membaca dn tai aja',Negative
